,Compound Score,Date,Neg Score,Neu Score,Pos Score,Source Acc.,Tweet
34,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"WATCH: A giant robotic T-Rex goes up in flames, only leaving behind a charred skeleton. https://t.co/8wRYBFoUsk"
35,-0.1816,03/25/18,0.087,0.913,0.0,CBSNews,"Sen. Joni Ernst: ""Status quo is not OK"" on school shootings, but stands by Second Amendment (via @FaceTheNation)… https://t.co/nHjXlbZkAG"
36,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Five Parkland student activists joined @FaceTheNation to discuss March for Our Lives and why they think their movem… https://t.co/89JlZx8mX7
37,0.128,03/25/18,0.0,0.889,0.111,CBSNews,"Lawyers Joseph diGenova, Victoria Toensing not joining Trump's Russia legal team https://t.co/vJWKjmO8vj https://t.co/9QzYIDGcb2"
38,0.25,03/25/18,0.0,0.917,0.083,CBSNews,A colossal Key Lime pie the size of a kiddie pool was created in the middle of a shopping mall -- and it has a purp… https://t.co/p7XUIJ7LJN
39,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Women across the country are running for political office at all levels, to take control of their political destini… https://t.co/cmnbY71rzr"
40,0.0,03/25/18,0.0,1.0,0.0,CBSNews,CBS Nation Tracker poll: Most Americans — across all ages and the partisan spectrum — think mass shootings are some… https://t.co/O6FQxLZ4xD
41,0.4404,03/25/18,0.0,0.868,0.132,CBSNews,"WATCH: The Eiffel Tower, Empire State Building, and even the bright Las Vegas strip went completely dark, joining s… https://t.co/K29FlqRPo7"
42,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"The teenage leaders of the March for Our Lives had a message for the nation's leaders: ""The voters are coming!"" sai… https://t.co/wSMjZNBsHS"
43,-0.0516,03/25/18,0.117,0.777,0.107,CBSNews,CBS News Nation Tracker: Two in three say candidate must share their views on gun policy https://t.co/HWFeDrZlG6 https://t.co/eVzEpWUHXb
44,0.0,03/25/18,0.0,1.0,0.0,CBSNews,CBS Nation Tracker poll: Young Americans believe they can change the world https://t.co/qjekBuNG2D https://t.co/JcZNFHExnb
45,0.5423,03/25/18,0.0,0.741,0.259,CBSNews,"Almanac: John and Yoko's ""Bed-In for Peace"" (via @CBSSunday) https://t.co/NWCbhb7Rcu https://t.co/FQhMyRua8K"
46,0.0,03/25/18,0.0,1.0,0.0,CBSNews,A grassroots movement is rising. Women across the country are running for political office at all levels. CBSN Orig… https://t.co/LoOb8YXUZU
47,-0.25,03/25/18,0.133,0.867,0.0,CBSNews,"How many people attended #MarchForOurLives? Crowd in Washington, D.C. alone estimated at 200,000… https://t.co/og9KeQQQiw"
48,-0.6705,03/25/18,0.302,0.698,0.0,CBSNews,"Austin bombing suspect called himself a ""psychopath"" in a recorded confession and said he felt no remorse for deadl… https://t.co/jYUG7G4k7E"
49,0.3818,03/25/18,0.177,0.488,0.335,CBSNews,Can Facebook restore public trust after Cambridge Analytica scandal? https://t.co/Mpr3FvvS9m https://t.co/vavGx0WRZA
